date,open,high,low,close,volume
2022-01-03,150.0000,151.1380,149.4000,150.5358,4833086
2022-01-04,150.5358,151.2878,149.9337,150.6851,4999027
2022-01-05,150.6851,152.0846,150.0824,151.4786,5004372
2022-01-06,151.4786,152.6587,150.8727,152.0505,4939633
2022-01-07,152.0505,152.6587,150.8613,151.4672,4966424
2022-01-10,151.4672,152.0731,150.1575,150.7605,4999860
2022-01-11,150.7605,151.6388,150.1575,151.0347,5029579
2022-01-12,151.0347,151.6388,149.9507,150.5529,4914704
2022-01-13,150.5529,151.3280,149.9507,150.7251,5091742
2022-01-14,150.7251,152.2156,150.1222,151.6091,4955393
2022-01-17,151.6091,153.4067,151.0027,152.7956,5062563
2022-01-18,152.7956,154.3149,152.1844,153.7001,4899535
2022-01-19,153.7001,154.6850,153.0853,154.0688,5064914
2022-01-20,154.0688,155.2820,153.4525,154.6634,5011963
2022-01-21,154.6634,156.0884,154.0447,155.4665,5153624
2022-01-24,155.4665,156.2304,154.8447,155.6080,4885825
2022-01-25,155.6080,156.7597,154.9856,156.1352,5046058
2022-01-26,156.1352,157.2916,155.5106,156.6649,5103130
2022-01-27,156.6649,157.2916,155.5208,156.1454,4806449
2022-01-28,156.1454,157.2052,155.5208,156.5788,5012050
2022-01-31,156.5788,158.0444,155.9525,157.4147,5145618
2022-02-01,157.4147,158.4794,156.7851,157.8480,5188237
2022-02-02,157.8480,158.7316,157.2166,158.0992,5023394
2022-02-03,158.0992,159.1626,157.4669,158.5285,4904773
2022-02-04,158.5285,159.1626,157.7309,158.3644,4981444
2022-02-07,158.3644,159.3685,157.7309,158.7336,5040200
2022-02-08,158.7336,159.6212,158.0987,158.9853,4894782
2022-02-09,158.9853,160.4541,158.3494,159.8148,4933847
2022-02-10,159.8148,161.0343,159.1756,160.3927,5037501
2022-02-11,160.3927,161.0343,159.2740,159.9136,5127576
2022-02-14,159.9136,160.5533,158.4694,159.1058,5076499
2022-02-15,159.1058,160.0848,158.4694,159.4470,5038394
2022-02-16,159.4470,160.0848,157.9285,158.5627,5002667
2022-02-17,158.5627,159.1970,157.3806,158.0127,5182810
2022-02-18,158.0127,158.7649,157.3806,158.1324,4810914
2022-02-21,158.1324,159.0286,157.4999,158.3951,4884005
2022-02-22,158.3951,159.2105,157.7615,158.5762,4915657
2022-02-23,158.5762,159.3928,157.9419,158.7578,4917018
2022-02-24,158.7578,159.4933,158.1228,158.8579,4968425
2022-02-25,158.8579,159.4933,157.6341,158.2671,4911218
2022-02-28,158.2671,158.9002,156.6299,157.2590,4956174
2022-03-01,157.2590,157.8880,155.9658,156.5922,5093977
2022-03-02,156.5922,157.2185,155.4802,156.1046,5098991
2022-03-03,156.1046,156.7290,154.6761,155.2973,4905071
