date,open,high,low,close,volume
2022-01-03,100.0000,100.7860,99.6000,100.3844,1049346
2022-01-04,100.3844,101.2296,99.9829,100.8263,955306
2022-01-05,100.8263,101.2296,100.2411,100.6436,1017013
2022-01-06,100.6436,101.1023,100.2411,100.6995,989755
2022-01-07,100.6995,101.6550,100.2967,101.2500,996930
2022-01-10,101.2500,101.8459,100.8450,101.4402,978631
2022-01-11,101.4402,101.9645,101.0344,101.5583,986941
2022-01-12,101.5583,101.9645,100.9073,101.3126,962429
2022-01-13,101.3126,101.9645,100.9073,101.5583,982834
2022-01-14,101.5583,102.5930,101.1521,102.1843,1019804
2022-01-17,102.1843,103.2305,101.7755,102.8192,1028892
2022-01-18,102.8192,103.7899,102.4079,103.3764,990651
2022-01-19,103.3764,103.7899,102.6938,103.1063,959665
2022-01-20,103.1063,104.0756,102.6938,103.6610,1039651
2022-01-21,103.6610,104.0756,103.2129,103.6274,1023375
2022-01-24,103.6274,104.0419,102.9311,103.3445,1006907
2022-01-25,103.3445,103.7579,102.8663,103.2794,1033941
2022-01-26,103.2794,104.2396,102.8663,103.8243,1022420
2022-01-27,103.8243,104.3278,103.4090,103.9121,1018334
2022-01-28,103.9121,104.3278,103.3519,103.7670,1021919
2022-01-31,103.7670,104.6920,103.3519,104.2749,962225
2022-02-01,104.2749,104.9890,103.8578,104.5707,1002274
2022-02-02,104.5707,105.2665,104.1524,104.8471,1037576
2022-02-03,104.8471,105.4449,104.4277,105.0248,1030202
2022-02-04,105.0248,105.4741,104.6047,105.0539,993664
2022-02-07,105.0539,105.4741,104.3709,104.7900,992625
2022-02-08,104.7900,105.4190,104.3709,104.9990,958255
2022-02-09,104.9990,105.4190,104.2423,104.6610,1024384
2022-02-10,104.6610,105.0796,103.9301,104.3475,968677
2022-02-11,104.3475,105.0524,103.9301,104.6339,1008716
2022-02-14,104.6339,105.0524,103.7402,104.1568,991950
2022-02-15,104.1568,104.9117,103.7402,104.4937,1014131
2022-02-16,104.4937,104.9117,103.6114,104.0276,1022255
2022-02-17,104.0276,104.4437,103.3352,103.7502,966359
2022-02-18,103.7502,104.1652,103.3228,103.7378,1020816
2022-02-21,103.7378,104.1527,102.9560,103.3695,1029060
2022-02-22,103.3695,103.7829,102.9471,103.3605,987703
2022-02-23,103.3605,103.7740,102.8363,103.2493,1028156
2022-02-24,103.2493,103.9210,102.8363,103.5070,991555
2022-02-25,103.5070,103.9547,103.0930,103.5406,988054
2022-02-28,103.5406,103.9547,102.7765,103.1893,974475
2022-03-01,103.1893,103.6021,102.2811,102.6918,1036069
2022-03-02,102.6918,103.1026,102.0290,102.4388,959055
2022-03-03,102.4388,102.8485,101.6132,102.0213,1049300
2022-03-04,102.0213,102.4294,101.2497,101.6563,969601
2022-03-07,101.6563,102.5376,101.2497,102.1291,960518
2022-03-08,102.1291,102.9989,101.7206,102.5885,1020857
2022-03-09,102.5885,103.2512,102.1782,102.8399,1042442
2022-03-10,102.8399,103.3501,102.4285,102.9383,1018392
2022-03-11,102.9383,103.7553,102.5266,103.3419,978206
2022-03-14,103.3419,104.2749,102.9286,103.8594,1027306
2022-03-15,103.8594,104.7317,103.4440,104.3145,1004974
2022-03-16,104.3145,104.9402,103.8972,104.5221,1009056
2022-03-17,104.5221,105.0637,104.1040,104.6452,1034042
2022-03-18,104.6452,105.7216,104.2266,105.3004,996840
2022-03-21,105.3004,105.7216,104.5868,105.0068,1030318
2022-03-22,105.0068,105.4268,104.3307,104.7497,1026949
2022-03-23,104.7497,105.4527,104.3307,105.0326,974953
2022-03-24,105.0326,105.4527,104.4890,104.9086,1045877
2022-03-25,104.9086,105.3283,104.3929,104.8121,1042449
2022-03-28,104.8121,105.2314,104.2320,104.6506,972345
2022-03-29,104.6506,105.0692,104.1824,104.6008,958151
2022-03-30,104.6008,105.0192,103.8845,104.3017,969183
2022-03-31,104.3017,105.2023,103.8845,104.7832,978675
2022-04-01,104.7832,105.2023,103.9922,104.4099,1025217
2022-04-04,104.4099,105.0436,103.9922,104.6251,1020018
2022-04-05,104.6251,105.2163,104.2066,104.7971,959698
2022-04-06,104.7971,105.2163,103.9387,104.3561,1033230
2022-04-07,104.3561,104.7735,103.6591,104.0754,1025491
2022-04-08,104.0754,104.4917,103.2985,103.7134,961997
2022-04-11,103.7134,104.1282,103.1678,103.5822,965210
2022-04-12,103.5822,103.9965,102.6836,103.0960,952835
2022-04-13,103.0960,103.5084,102.3552,102.7663,974244
2022-04-14,102.7663,103.3792,102.3552,102.9673,1012814
2022-04-15,102.9673,103.3792,102.2279,102.6384,958006
2022-04-18,102.6384,103.4498,102.2279,103.0377,952986
2022-04-19,103.0377,103.4498,102.6173,103.0294,1031343
2022-04-20,103.0294,103.4415,102.1512,102.5615,984068
2022-04-21,102.5615,102.9717,101.6526,102.0609,959433
2022-04-22,102.0609,102.5587,101.6526,102.1501,995913
2022-04-25,102.1501,102.5587,101.6175,102.0256,958000
2022-04-26,102.0256,102.4337,101.5649,101.9728,955161
2022-04-27,101.9728,102.4263,101.5649,102.0182,1041661
2022-04-28,102.0182,102.8777,101.6101,102.4678,976129
2022-04-29,102.4678,102.8777,101.7700,102.1787,1045892
2022-05-02,102.1787,102.5874,101.7175,102.1260,1024680
2022-05-03,102.1260,102.5345,101.3673,101.7744,1038164
2022-05-04,101.7744,102.1815,101.0616,101.4675,957608
2022-05-05,101.4675,102.1717,101.0616,101.7646,970736
2022-05-06,101.7646,102.5386,101.3576,102.1301,994867
2022-05-09,102.1301,102.6133,101.7215,102.2045,965363
2022-05-10,102.2045,102.7673,101.7956,102.3579,1007974
2022-05-11,102.3579,103.0024,101.9484,102.5920,951730
2022-05-12,102.5920,103.0481,102.1817,102.6376,1003727
2022-05-13,102.6376,103.5449,102.2270,103.1324,1016663
2022-05-16,103.1324,104.0880,102.7199,103.6733,1035057
2022-05-17,103.6733,104.0880,103.2288,103.6434,1036195
2022-05-18,103.6434,104.0580,103.0960,103.5100,1023478
2022-05-19,103.5100,104.2532,103.0960,103.8379,1010024
2022-05-20,103.8379,104.6412,103.4225,104.2243,994029
2022-05-23,104.2243,105.0369,103.8074,104.6184,1021345
2022-05-24,104.6184,105.0369,104.1174,104.5355,981474
2022-05-25,104.5355,105.3756,104.1174,104.9557,1013154
2022-05-26,104.9557,105.3756,104.5264,104.9462,987732
2022-05-27,104.9462,105.6926,104.5264,105.2715,1027368
2022-05-30,105.2715,106.2966,104.8504,105.8731,1033066
2022-05-31,105.8731,106.7990,105.4496,106.3735,967346
2022-06-01,106.3735,107.1492,105.9480,106.7223,1000858
2022-06-02,106.7223,107.5279,106.2954,107.0995,1035305
2022-06-03,107.0995,107.5279,106.3275,106.7545,1027932
2022-06-06,106.7545,107.1815,106.0751,106.5011,993830
2022-06-07,106.5011,106.9271,105.7789,106.2037,979241
2022-06-08,106.2037,106.8291,105.7789,106.4035,999630
2022-06-09,106.4035,107.0974,105.9779,106.6708,1038313
2022-06-10,106.6708,107.2034,106.2441,106.7763,1004317
2022-06-13,106.7763,107.2034,105.8529,106.2780,1041990
2022-06-14,106.2780,106.7674,105.8529,106.3420,1036795
2022-06-15,106.3420,106.9737,105.9167,106.5475,971715
2022-06-16,106.5475,106.9737,106.0380,106.4639,983977
2022-06-17,106.4639,107.0718,106.0380,106.6453,1008505
2022-06-20,106.6453,107.0718,106.1962,106.6227,1013866
2022-06-21,106.6227,107.4293,106.1962,107.0013,1029164
2022-06-22,107.0013,107.6435,106.5733,107.2146,955100
2022-06-23,107.2146,107.6435,106.7176,107.1462,990902
2022-06-24,107.1462,107.8739,106.7176,107.4441,956534
2022-06-27,107.4441,108.1452,107.0143,107.7143,1004412
2022-06-28,107.7143,108.1452,106.8898,107.3191,1032980
2022-06-29,107.3191,108.2088,106.8898,107.7777,1045099
2022-06-30,107.7777,108.2088,106.8998,107.3291,951930
2022-07-01,107.3291,107.7585,106.7507,107.1794,1038934
2022-07-04,107.1794,107.6081,106.6407,107.0690,950444
2022-07-05,107.0690,107.4973,106.3222,106.7492,1044021
2022-07-06,106.7492,107.4455,106.3222,107.0175,1038573
2022-07-07,107.0175,107.4822,106.5894,107.0539,962816
2022-07-08,107.0539,107.4822,106.3120,106.7390,1029738
2022-07-11,106.7390,107.3741,106.3120,106.9464,989638
2022-07-12,106.9464,107.3741,106.3428,106.7699,973884
2022-07-13,106.7699,107.1969,105.9865,106.4121,1001995
2022-07-14,106.4121,107.0536,105.9865,106.6271,952863
2022-07-15,106.6271,107.0536,106.0500,106.4759,1009372
2022-07-18,106.4759,107.3380,106.0500,106.9104,965175
2022-07-19,106.9104,107.8495,106.4827,107.4198,967487
2022-07-20,107.4198,108.1460,106.9901,107.7151,1035299
2022-07-21,107.7151,108.4398,107.2843,108.0078,965087
2022-07-22,108.0078,108.9855,107.5758,108.5513,986491
2022-07-25,108.5513,109.5201,108.1171,109.0837,955544
2022-07-26,109.0837,109.5201,108.3004,108.7354,1039259
2022-07-27,108.7354,109.1703,108.1914,108.6259,991250
2022-07-28,108.6259,109.6983,108.1914,109.2613,1024379
2022-07-29,109.2613,110.2972,108.8242,109.8578,955505
2022-08-01,109.8578,110.8157,109.4184,110.3742,1041924
2022-08-02,110.3742,111.0654,109.9327,110.6229,1014813
2022-08-03,110.6229,111.4247,110.1804,110.9807,1010118
2022-08-04,110.9807,111.6964,110.5368,111.2514,998817
2022-08-05,111.2514,112.2182,110.8064,111.7711,973368
2022-08-08,111.7711,112.2182,111.0753,111.5214,1026955
2022-08-09,111.5214,111.9674,110.9087,111.3541,968147
2022-08-10,111.3541,111.7995,110.5761,111.0202,993700
2022-08-11,111.0202,111.4643,110.4397,110.8832,998129
2022-08-12,110.8832,111.6024,110.4397,111.1578,994335
2022-08-15,111.1578,111.9146,110.7132,111.4687,954674
2022-08-16,111.4687,111.9146,110.5038,110.9475,971477
2022-08-17,110.9475,111.3913,110.0973,110.5395,1026474
2022-08-18,110.5395,110.9817,109.8380,110.2791,1001746
2022-08-19,110.2791,111.2262,109.8380,110.7830,966992
2022-08-22,110.7830,111.2262,110.0573,110.4993,1012660
2022-08-23,110.4993,111.1377,110.0573,110.6949,956325
2022-08-24,110.6949,111.1377,109.9779,110.4196,1018557
2022-08-25,110.4196,111.0497,109.9779,110.6073,989671
2022-08-26,110.6073,111.0497,109.9923,110.4340,993059
2022-08-29,110.4340,110.8757,109.7085,110.1491,964241
2022-08-30,110.1491,110.5897,109.2094,109.6480,1013068
2022-08-31,109.6480,110.0866,109.1258,109.5641,995043
2022-09-01,109.5641,110.0023,108.6658,109.1022,965205
2022-09-02,109.1022,109.7131,108.6658,109.2760,1005906
2022-09-05,109.2760,109.7131,108.3150,108.7500,993919
2022-09-06,108.7500,109.4296,108.3150,108.9936,970403
2022-09-07,108.9936,109.8867,108.5576,109.4489,1032148
2022-09-08,109.4489,109.9656,109.0111,109.5275,1033739
2022-09-09,109.5275,109.9656,108.6573,109.0936,961097
2022-09-12,109.0936,109.5300,108.3799,108.8152,978974
2022-09-13,108.8152,109.2505,107.9657,108.3993,951029
2022-09-14,108.3993,108.8329,107.6035,108.0356,1022938
2022-09-15,108.0356,108.5707,107.6035,108.1381,1008791
2022-09-16,108.1381,109.1192,107.7056,108.6845,1026662
2022-09-19,108.6845,109.4725,108.2497,109.0364,978475
2022-09-20,109.0364,109.5156,108.6003,109.0792,998277
2022-09-21,109.0792,109.5156,108.4718,108.9074,984198
2022-09-22,108.9074,109.5757,108.4718,109.1392,971834
2022-09-23,109.1392,109.6450,108.7026,109.2082,996991
2022-09-26,109.2082,109.6450,108.5043,108.9400,1042013
2022-09-27,108.9400,109.3758,108.1436,108.5779,1018919
2022-09-28,108.5779,109.1116,108.1436,108.6769,1038725
2022-09-29,108.6769,109.1116,108.0687,108.5027,1015154
2022-09-30,108.5027,108.9734,108.0687,108.5392,977162
2022-10-03,108.5392,109.2607,108.1050,108.8254,978297
2022-10-04,108.8254,109.5231,108.3901,109.0868,963714
2022-10-05,109.0868,109.5231,108.4417,108.8772,999549
2022-10-06,108.8772,109.3127,108.4027,108.8381,969835
2022-10-07,108.8381,109.2734,108.0765,108.5106,1028150
2022-10-10,108.5106,109.5439,108.0765,109.1075,969451
2022-10-11,109.1075,109.6767,108.6710,109.2398,1033671
2022-10-12,109.2398,109.9261,108.8028,109.4881,1018318
2022-10-13,109.4881,109.9622,109.0502,109.5241,992265
2022-10-14,109.5241,110.3591,109.0860,109.9195,1015358
2022-10-17,109.9195,110.5068,109.4798,110.0665,976475
2022-10-18,110.0665,110.5428,109.6262,110.1024,978675
2022-10-19,110.1024,110.5428,109.1040,109.5421,1042483
2022-10-20,109.5421,110.4601,109.1040,110.0200,991714
2022-10-21,110.0200,110.7744,109.5799,110.3331,954648
2022-10-24,110.3331,110.7744,109.8641,110.3054,983670
2022-10-25,110.3054,110.8003,109.8641,110.3588,970434
2022-10-26,110.3588,111.1164,109.9174,110.6737,1026408
2022-10-27,110.6737,111.1164,109.9394,110.3809,1042585
2022-10-28,110.3809,111.0963,109.9394,110.6537,958697
