symbol,side,qty,entry_dt,entry_px,exit_dt,exit_px,pnl,ret,holding_days
SPY_SAMPLE,LONG,1,2022-01-31T00:00:00,104.338233,2022-02-23T00:00:00,102.856013,-1.482219,-0.014206,23
AAPL,LONG,1,2022-01-31T00:00:00,157.307329,2022-03-01T00:00:00,156.614237,-0.693092,-0.004406,29
SPY_SAMPLE,SHORT,1,2022-02-24T00:00:00,102.826016,2022-03-16T00:00:00,104.922191,-2.096175,-0.019978,20
AAPL,SHORT,1,2022-03-02T00:00:00,155.950203,2022-03-21T00:00:00,159.509249,-3.559046,-0.022312,19
MSFT,LONG,1,2022-01-31T00:00:00,309.338831,2022-03-23T00:00:00,308.830814,-0.508017,-0.001642,51
MSFT,SHORT,1,2022-03-24T00:00:00,308.720225,2022-03-30T00:00:00,314.741171,-6.020946,-0.019130,6
SPY_SAMPLE,LONG,1,2022-03-17T00:00:00,104.950694,2022-04-12T00:00:00,103.157483,-1.793211,-0.017086,26
AAPL,LONG,1,2022-03-22T00:00:00,159.639862,2022-04-18T00:00:00,156.800018,-2.839844,-0.017789,27
AAPL,SHORT,1,2022-04-19T00:00:00,156.728826,2022-04-25T00:00:00,160.721671,-3.992845,-0.024843,6
MSFT,LONG,1,2022-03-31T00:00:00,314.803677,2022-05-03T00:00:00,309.593338,-5.210340,-0.016551,33
SPY_SAMPLE,SHORT,1,2022-04-13T00:00:00,102.673332,2022-05-13T00:00:00,103.460145,-0.786813,-0.007605,30
MSFT,SHORT,1,2022-05-04T00:00:00,309.504047,2022-05-27T00:00:00,315.060303,-5.556256,-0.017636,23
SPY_SAMPLE,LONG,1,2022-05-16T00:00:00,103.555254,2022-07-14T00:00:00,105.975901,2.420647,0.023375,59
MSFT,LONG,1,2022-05-30T00:00:00,315.372134,2022-07-21T00:00:00,318.329864,2.957730,0.009379,52
AAPL,LONG,1,2022-04-26T00:00:00,161.122211,2022-08-08T00:00:00,165.654233,4.532022,0.028128,104
SPY_SAMPLE,LONG,1,2022-07-21T00:00:00,108.219621,2022-08-30T00:00:00,109.697529,1.477908,0.013657,40
MSFT,SHORT,1,2022-07-22T00:00:00,317.925704,2022-09-05T00:00:00,319.323429,-1.397725,-0.004377,45
AAPL,SHORT,1,2022-08-09T00:00:00,165.318766,2022-09-16T00:00:00,166.769975,-1.451209,-0.008702,38
SPY_SAMPLE,SHORT,1,2022-08-31T00:00:00,109.198479,2022-10-11T00:00:00,109.655964,-0.457485,-0.004172,41
