symbol,side,qty,entry_dt,entry_px,exit_dt,exit_px,pnl,ret,holding_days
SPY_SAMPLE,LONG,1,2022-02-11T00:00:00,104.357935,2022-02-24T00:00:00,103.238975,-1.118960,-0.010722,13
AAPL,LONG,1,2022-02-11T00:00:00,160.408739,2022-03-03T00:00:00,156.088990,-4.319750,-0.026930,20
SPY_SAMPLE,LONG,1,2022-03-18T00:00:00,104.655665,2022-04-14T00:00:00,102.756023,-1.899641,-0.018151,27
AAPL,LONG,1,2022-03-24T00:00:00,158.256124,2022-04-18T00:00:00,157.561842,-0.694282,-0.004387,25
MSFT,LONG,1,2022-02-11T00:00:00,309.445942,2022-04-21T00:00:00,311.831414,2.385472,0.007709,69
AAPL,LONG,1,2022-04-25T00:00:00,159.468745,2022-06-09T00:00:00,162.552343,3.083598,0.019337,45
SPY_SAMPLE,LONG,1,2022-05-18T00:00:00,103.653764,2022-07-14T00:00:00,106.401459,2.747694,0.026508,57
MSFT,LONG,1,2022-05-27T00:00:00,313.585355,2022-07-21T00:00:00,319.946202,6.360847,0.020284,55
AAPL,LONG,1,2022-06-20T00:00:00,164.469245,2022-08-08T00:00:00,166.757823,2.288577,0.013915,49
SPY_SAMPLE,LONG,1,2022-07-21T00:00:00,107.725872,2022-09-01T00:00:00,109.553144,1.827272,0.016962,42
