dt,equity
2022-01-03T00:00:00,100000.000000
2022-01-04T00:00:00,100000.000000
2022-01-05T00:00:00,100000.000000
2022-01-06T00:00:00,100000.000000
2022-01-07T00:00:00,100000.000000
2022-01-10T00:00:00,100000.000000
2022-01-11T00:00:00,100000.000000
2022-01-12T00:00:00,100000.000000
2022-01-13T00:00:00,100000.000000
2022-01-14T00:00:00,100000.000000
2022-01-17T00:00:00,100000.000000
2022-01-18T00:00:00,100000.000000
2022-01-19T00:00:00,100000.000000
2022-01-20T00:00:00,100000.000000
2022-01-21T00:00:00,100000.000000
2022-01-24T00:00:00,100000.000000
2022-01-25T00:00:00,100000.000000
2022-01-26T00:00:00,100000.000000
2022-01-27T00:00:00,100000.000000
2022-01-28T00:00:00,100000.000000
2022-01-31T00:00:00,100000.000000
2022-02-01T00:00:00,100000.000000
2022-02-02T00:00:00,100000.000000
2022-02-03T00:00:00,100000.000000
2022-02-04T00:00:00,100000.000000
2022-02-07T00:00:00,100000.000000
2022-02-08T00:00:00,100000.000000
2022-02-09T00:00:00,100000.000000
2022-02-10T00:00:00,100000.000000
2022-02-11T00:00:00,99985.802845
2022-02-14T00:00:00,99984.989845
2022-02-15T00:00:00,99997.136845
2022-02-16T00:00:00,99978.509845
2022-02-17T00:00:00,99968.690845
2022-02-18T00:00:00,99964.990845
2022-02-21T00:00:00,99958.799845
2022-02-22T00:00:00,99978.261845
2022-02-23T00:00:00,99982.404845
2022-02-24T00:00:00,99984.900346
2022-02-25T00:00:00,99987.140346
2022-02-28T00:00:00,99984.609346
2022-03-01T00:00:00,99996.215346
2022-03-02T00:00:00,99993.069346
2022-03-03T00:00:00,100000.604137
2022-03-04T00:00:00,99986.401137
2022-03-07T00:00:00,99985.571137
2022-03-08T00:00:00,99966.609137
2022-03-09T00:00:00,99969.469137
2022-03-10T00:00:00,99984.056137
2022-03-11T00:00:00,99973.263137
2022-03-14T00:00:00,99950.083137
2022-03-15T00:00:00,99947.285137
2022-03-16T00:00:00,99936.288137
2022-03-17T00:00:00,99948.332137
2022-03-18T00:00:00,99934.475847
2022-03-21T00:00:00,99933.470847
2022-03-22T00:00:00,99913.540847
2022-03-23T00:00:00,99919.153847
2022-03-24T00:00:00,99943.010366
2022-03-25T00:00:00,99959.358366
2022-03-28T00:00:00,99937.438366
2022-03-29T00:00:00,99938.400366
2022-03-30T00:00:00,99945.672366
2022-03-31T00:00:00,99963.653366
2022-04-01T00:00:00,99944.857366
2022-04-04T00:00:00,99944.681366
2022-04-05T00:00:00,99957.304366
2022-04-06T00:00:00,99971.866366
2022-04-07T00:00:00,99961.058366
2022-04-08T00:00:00,99936.067366
2022-04-11T00:00:00,99935.612366
2022-04-12T00:00:00,99918.959366
2022-04-13T00:00:00,99907.886366
2022-04-14T00:00:00,99903.018833
2022-04-15T00:00:00,99912.283833
2022-04-18T00:00:00,99913.271678
2022-04-19T00:00:00,99892.611678
2022-04-20T00:00:00,99902.381678
2022-04-21T00:00:00,99909.604953
2022-04-22T00:00:00,99893.544953
2022-04-25T00:00:00,99883.642047
2022-04-26T00:00:00,99899.491047
2022-04-27T00:00:00,99889.222047
2022-04-28T00:00:00,99886.578047
2022-04-29T00:00:00,99897.732047
2022-05-02T00:00:00,99920.418047
2022-05-03T00:00:00,99933.613047
2022-05-04T00:00:00,99949.280047
2022-05-05T00:00:00,99935.744047
2022-05-06T00:00:00,99941.908047
2022-05-09T00:00:00,99952.426047
2022-05-10T00:00:00,99962.771047
2022-05-11T00:00:00,99965.261047
2022-05-12T00:00:00,99978.215047
2022-05-13T00:00:00,99968.640047
2022-05-16T00:00:00,99942.027047
2022-05-17T00:00:00,99938.448047
2022-05-18T00:00:00,99935.566761
2022-05-19T00:00:00,99934.721761
2022-05-20T00:00:00,99926.288761
2022-05-23T00:00:00,99905.127761
2022-05-24T00:00:00,99920.361761
2022-05-25T00:00:00,99923.747761
