symbol,side,qty,entry_dt,entry_px,exit_dt,exit_px,pnl,ret,holding_days
SPY_SAMPLE,LONG,100,2022-02-11T00:00:00,104.357935,2022-02-24T00:00:00,103.238975,-111.895968,-0.010722,13
AAPL,LONG,100,2022-02-11T00:00:00,160.408739,2022-03-03T00:00:00,156.088990,-431.974973,-0.026930,20
SPY_SAMPLE,SHORT,100,2022-02-24T00:00:00,103.238975,2022-03-18T00:00:00,104.655665,-141.668945,-0.013537,22
AAPL,SHORT,100,2022-03-03T00:00:00,156.088990,2022-03-24T00:00:00,158.256124,-216.713449,-0.013694,21
SPY_SAMPLE,LONG,100,2022-03-18T00:00:00,104.655665,2022-04-14T00:00:00,102.756023,-189.964115,-0.018151,27
AAPL,LONG,100,2022-03-24T00:00:00,158.256124,2022-04-18T00:00:00,157.561842,-69.428179,-0.004387,25
MSFT,LONG,100,2022-02-11T00:00:00,309.445942,2022-04-21T00:00:00,311.831414,238.547224,0.007709,69
AAPL,SHORT,100,2022-04-18T00:00:00,157.561842,2022-04-25T00:00:00,159.468745,-190.690304,-0.011958,7
SPY_SAMPLE,SHORT,100,2022-04-14T00:00:00,102.756023,2022-05-18T00:00:00,103.653764,-89.774097,-0.008661,34
MSFT,SHORT,100,2022-04-21T00:00:00,311.831414,2022-05-27T00:00:00,313.585355,-175.394166,-0.005593,36
AAPL,LONG,100,2022-04-25T00:00:00,159.468745,2022-06-09T00:00:00,162.552343,308.359786,0.019337,45
AAPL,SHORT,100,2022-06-09T00:00:00,162.552343,2022-06-20T00:00:00,164.469245,-191.690214,-0.011655,11
SPY_SAMPLE,LONG,100,2022-05-18T00:00:00,103.653764,2022-07-14T00:00:00,106.401459,274.769445,0.026508,57
MSFT,LONG,100,2022-05-27T00:00:00,313.585355,2022-07-21T00:00:00,319.946202,636.084678,0.020284,55
SPY_SAMPLE,SHORT,100,2022-07-14T00:00:00,106.401459,2022-07-21T00:00:00,107.725872,-132.441272,-0.012294,7
AAPL,LONG,100,2022-06-20T00:00:00,164.469245,2022-08-08T00:00:00,166.757823,228.857727,0.013915,49
SPY_SAMPLE,LONG,100,2022-07-21T00:00:00,107.725872,2022-09-01T00:00:00,109.553144,182.727208,0.016962,42
MSFT,SHORT,100,2022-07-21T00:00:00,319.946202,2022-09-02T00:00:00,317.616658,232.954369,0.007334,43
AAPL,SHORT,100,2022-08-08T00:00:00,166.757823,2022-09-19T00:00:00,166.904489,-14.666623,-0.000879,42
SPY_SAMPLE,SHORT,100,2022-09-01T00:00:00,109.553144,2022-10-12T00:00:00,109.250724,30.241961,0.002768,41
