dt,equity
2022-01-03T00:00:00,100010.000000
2022-01-04T00:00:00,100020.001000
2022-01-05T00:00:00,100030.003000
2022-01-06T00:00:00,100040.006000
2022-01-07T00:00:00,100050.010001
2022-01-10T00:00:00,100060.015002
2022-01-11T00:00:00,100070.021004
2022-01-12T00:00:00,100080.028006
2022-01-13T00:00:00,100090.036008
2022-01-14T00:00:00,100100.045012
2022-01-17T00:00:00,100110.055017
2022-01-18T00:00:00,100120.066022
2022-01-19T00:00:00,100130.078029
2022-01-20T00:00:00,100140.091036
2022-01-21T00:00:00,100150.105046
2022-01-24T00:00:00,100160.120056
2022-01-25T00:00:00,100170.136068
2022-01-26T00:00:00,100180.153082
2022-01-27T00:00:00,100190.171097
2022-01-28T00:00:00,100200.190114
2022-01-31T00:00:00,100210.210133
2022-02-01T00:00:00,100220.231154
2022-02-02T00:00:00,100230.253177
2022-02-03T00:00:00,100240.276203
2022-02-04T00:00:00,100250.300230
2022-02-07T00:00:00,100260.325260
2022-02-08T00:00:00,100270.351293
2022-02-09T00:00:00,100280.378328
2022-02-10T00:00:00,100290.406366
2022-02-11T00:00:00,100285.664038
2022-02-14T00:00:00,100294.306812
2022-02-15T00:00:00,100315.910531
2022-02-16T00:00:00,100306.741196
2022-02-17T00:00:00,100306.380806
2022-02-18T00:00:00,100312.140363
2022-02-21T00:00:00,100315.409865
2022-02-22T00:00:00,100344.333313
2022-02-23T00:00:00,100357.938708
2022-02-24T00:00:00,100370.104028
2022-02-25T00:00:00,100382.014814
2022-02-28T00:00:00,100389.155567
2022-03-01T00:00:00,100410.434287
2022-03-02T00:00:00,100416.961974
2022-03-03T00:00:00,100434.483597
2022-03-04T00:00:00,100430.268428
2022-03-07T00:00:00,100439.427258
2022-03-08T00:00:00,100430.455087
2022-03-09T00:00:00,100443.305915
2022-03-10T00:00:00,100467.884742
2022-03-11T00:00:00,100467.084568
2022-03-14T00:00:00,100453.898394
2022-03-15T00:00:00,100461.095219
2022-03-16T00:00:00,100460.094043
2022-03-17T00:00:00,100482.134867
2022-03-18T00:00:00,100478.067089
2022-03-21T00:00:00,100486.851580
2022-03-22T00:00:00,100476.712050
2022-03-23T00:00:00,100492.116499
2022-03-24T00:00:00,100525.448934
2022-03-25T00:00:00,100551.273798
2022-03-28T00:00:00,100538.831609
